Service Name,Request Count,Requests Failed,Requests Timed Out,Request Max Response Time,Request Avg Response Time,Status
services/EPM_ProjectsByStatus.MapServer,2682,457,0,279.794,6.36274697349585,STOPPED
services/Work_Zone_Crashes_uPlan.MapServer,1623,9,0,152.798,9.224657995955702,running
services/Utilities/Search.IndexingLauncher,0,0,0,0,0,running
services/StationInformation.MapServer,80191,509,0,211.689,1.6242197484613239,running
services/TrafficSignals.MapServer,6514,13,0,56.907,2.2608003892308064,running
services/Complex/PAVE_SurfaceTypeHistory.MapServer,9676,35,0,263.484,3.4220747372417963,running
services/Complex/Elevation.MapServer,2378,14,0,267.26,5.862551029804477,running
services/Secure/TrafficSafetyTEOs.MapServer,672,0,0,16.476,7.26960083990519,running
services/Region4/R4Assets.MapServer,1,1,0,0,0,STOPPED
services/STIP2016.MapServer,25038,94,0,991.317,3.3906513803496714,running
services/Secure/SR36Project.MapServer,5,0,0,10.777,6.554399999999999,running
services/Statewide_ROW.MapServer,14468,15,0,108.661,2.5369916572593385,running
services/SIGNS_COLLECTOR.MapServer,5,1,0,6.704,5.26425,running
services/DesignData.MapServer,26181,17,4,236.426,3.687848550107534,running
services/uplan/Safety_EmergencyOperations.MapServer,1322,37,0,164.344,8.450079191554046,running
services/Complex/HPMS_Collector.MapServer,219,0,0,69.458,4.700154100402286,running
services/uplan/Model_Output_Vetted.MapServer,438,2,0,45.58,7.453606346758108,running
services/Secure/Crash_Rates_uPlan.MapServer,1,0,0,6.21,6.21,running
services/System/PublishingTools.GPServer,32618,1,0,1.81,0.16852666800406288,running
services/Secure/I15_Risk_Resiliency_20170629.MapServer,0,0,0,0,0,running
services/MotorCarrier.MapServer,4197,21,0,124.936,7.359587479572184,running
services/Complex/PublicTransitData.MapServer,12696,5,0,174.382,4.656809329308984,running
services/LRSRoutes.MapServer,1563947,2414,0,391.353,0.17804047632949474,running
services/Secure/Wildlife_Mitigation_Projects_CarcassOnly.MapServer,12,0,0,15.238,5.103904761904762,running
services/Region4/PIN11458_Design.MapServer,1,0,0,1.851,1.851,running
services/uplan/Energy_Uintah_Basin_Public.MapServer,9938,21,1,578.853,8.185537655802575,running
services/System/SceneCachingTools.GPServer,57,0,0,7.213,4.0018970588235305,running
services/RandH/UDOT_RCE_Deploy.MapServer,126986,60,0,158.405,0.43212115135245754,running
services/TOC_Devices.MapServer,2300,3,0,121.605,6.796648418350568,running
services/TrafficSafety_Sidewalks_edit.MapServer,299844,2,0,115.024,0.38751110119095555,running
services/Safety_CrashesperMileScore.MapServer,1248,555,0,74.513,7.942359774306889,running
services/Complex/ROW_Leases.MapServer,233,1,0,38.081,6.420448245614037,running
services/Complex/PAVE_StrategicDirection_OD.MapServer,8448,103,0,253.891,3.480015048473397,running
services/Functional_Class.MapServer,395574,337,0,136.006,0.23352570166493125,running
services/Complex/Culverts_Authoritative.MapServer,3501,0,0,15.182,3.843661310286286,running
services/Secure/Commercial_Motor_Vehicle_Crashes_uPlan.MapServer,0,0,0,0,0,running
services/ROW.MapServer,48931,41,0,160.156,1.0538186387146484,running
services/Complex/PublicComment.MapServer,1219,41,0,65.051,7.992385334077321,running
services/Complex/UnifiedPlan.MapServer,1138,751,0,663.762,56.05187049982408,STOPPED
services/FI_Mandli2014.MapServer,67895,585,171,262.767,3.4636974325421477,running
services/EPM_AllProjectsPoints.MapServer,7225,2,0,79.709,1.270578116572998,running
services/UMapTest.MapServer,7054,16,0,82.108,1.431954490894911,running
services/Secure/UDOTBridgesLoadRating.MapServer,0,0,0,0,0,running
services/Region4/MoabHotspotStudy.MapServer,44706,388,0,133.567,0.8269424594672352,running
services/Secure/TrafficSafetyCrashSimple.MapServer,1294,88,253,648.562,3.7591986218864837,running
services/STIP2015Archive.MapServer,52614,239,0,185.464,2.148692656611682,running
services/Secure/Run_off_Center_Crashes_uPlan.MapServer,0,0,0,0,0,running
services/Region4/R4_UDOTProperty.MapServer,11608,4,0,107.697,1.9442010517077444,running
services/CommissionDistricts.MapServer,440,4,0,61.608,6.247407732519732,running
services/System/CachingTools.GPServer,71,0,0,6.355,3.318148936170213,running
services/AADT.MapServer,1363135,1751,0,863.924,0.1418364891654134,running
services/GPTools/PermitsRefreshToFGDB.GPServer,49,0,0,9.974,5.441437500000001,running
services/Complex/WaterQualityFeatures.MapServer,6,0,0,9.693,2.956166666666667,running
services/uplan/UDOT_Region_Bike_Plans.MapServer,13261,80,3,364.583,7.954431713941956,running
services/uplan/Land_Use_Growth.MapServer,1336,3,0,43.653,5.6984369230702905,running
services/MilePosts.MapServer,1986709,2596,0,353.543,0.14352099553242592,running
services/uplan/Unified_Plan_Consolidated.MapServer,430,9,0,429.367,140.64285855437302,running
services/Permits.MapServer,27482,46,0,218.623,2.3039639344982814,running
services/uplan/LRP_2015_Comment.MapServer,727,722,0,0,0,running
services/CCS_Workforce.MapServer,2189,10,0,138.405,5.37904238977616,running
services/ProjectWiseEnvDocs.MapServer,1482,6,0,221.123,8.126775242612103,running
services/uplan/Wildlife_Studies_2012.MapServer,42122,171,0,260.94,4.912484018040614,running
services/EPM_CMGC.MapServer,3301,4,0,134.69,1.7417926352582151,running
services/UDOTBridgesPublic.MapServer,158303,305,0,229.89,1.3615419803580908,running
services/OwnershipCode.MapServer,13486,31,0,368.382,3.0134617807144184,running
services/ADARampInventory_viewonly.MapServer,33939,225,1,137.681,0.3353831832276725,running
services/System/SyncTools.GPServer,204,1,0,25.251,3.8402601626016257,running
services/uplan/PELWebData.MapServer,103973,2937,0,270.93,14.659266638946637,STOPPED
services/uplan/Unified_Plan_StateFundingStatus.MapServer,9908,47,2,402.449,3.930245762992266,running
services/FI_SignAssemblies.MapServer,9527,25,0,127.829,3.769899993489179,running
