Service Name,Request Count,Requests Failed,Requests Timed Out,Request Max Response Time,Request Avg Response Time,Status
services/EPM_ProjectsByStatus.MapServer,322,319,0,0,0,STOPPED
services/Work_Zone_Crashes_uPlan.MapServer,3435,8,0,145.731,3.1002408727202746,running
services/Utilities/Search.IndexingLauncher,0,0,0,0,0,running
services/TrafficSignals.MapServer,15863,9,0,252.607,1.921454304453372,running
services/Complex/PAVE_SurfaceTypeHistory.MapServer,8991,5,0,129.385,3.1125763871705696,running
services/Complex/Elevation.MapServer,4683,0,0,56.589,3.5655591926274055,running
services/Secure/TrafficSafetyTEOs.MapServer,1447,0,0,31.94,4.175220183555887,running
services/uplan/UintaBasinAnalysis.MapServer,28539,8,0,94.095,2.1240777687234456,running
services/Region4/R4Assets.MapServer,0,0,0,0,0,STOPPED
services/STIP2016.MapServer,96304,90,0,347.52,1.272115870925786,running
services/Secure/SR36Project.MapServer,0,0,0,0,0,running
services/Secure/StatewideBikePlanStrava.MapServer,1266,2,0,132.035,10.505483220902223,running
services/Statewide_ROW.MapServer,29175,17,19,438.592,1.3735497459297468,running
services/SIGNS_COLLECTOR.MapServer,2,2,0,0,0,running
services/DesignData.MapServer,16178,2,0,51.208,1.9819336235911686,running
services/Complex/HPMS_Collector.MapServer,179,0,0,11.253,4.623021786492376,running
services/uplan/Model_Output_Vetted.MapServer,1229,4,0,39.201,4.298598285474499,running
services/Secure/Crash_Rates_uPlan.MapServer,0,0,0,0,0,running
services/System/PublishingTools.GPServer,12230,0,0,4.822,0.2597215655945155,running
services/Secure/I15_Risk_Resiliency_20170629.MapServer,0,0,0,0,0,running
services/MotorCarrier.MapServer,8928,5,0,206.946,3.0778420923997976,running
services/Complex/PublicTransitData.MapServer,40200,9,0,141.041,1.9772747554701064,running
services/LRSRoutes.MapServer,1111133,563,0,283.005,0.169661587476561,running
services/Secure/Wildlife_Mitigation_Projects_CarcassOnly.MapServer,32,0,0,7.65,5.127531818181819,running
services/Region4/PIN11458_Design.MapServer,0,0,0,0,0,running
services/System/SceneCachingTools.GPServer,61,0,0,4.424,3.0388088235294117,running
services/RandH/UDOT_RCE_Deploy.MapServer,506276,564,0,209.178,0.3087951663923638,STOPPED
services/TOC_Devices.MapServer,3218,1,0,150.646,3.4465127666317836,running
services/TrafficSafety_Sidewalks_edit.MapServer,23774,0,0,18.881,2.315835561108417,running
services/Safety_CrashesperMileScore.MapServer,2292,5,0,52.238,4.103529093196047,running
services/Complex/ROW_Leases.MapServer,202,0,0,13.629,4.891815885563713,running
services/Complex/PAVE_StrategicDirection_OD.MapServer,4606,2,0,119.866,3.1312534816808246,running
services/Utilities/PrintingTools.GPServer,69,1,0,4.166,3.074986486486486,running
services/Complex/Culverts_Authoritative.MapServer,6992,0,0,28.535,4.321839764859836,running
services/Secure/Commercial_Motor_Vehicle_Crashes_uPlan.MapServer,0,0,0,0,0,running
services/ROW.MapServer,64920,29,0,124.888,0.6306950927037179,running
services/Complex/PublicComment.MapServer,2469,77,0,127.519,3.859128281998045,running
services/Complex/UnifiedPlan.MapServer,301,301,0,0,0,STOPPED
services/FI_Mandli2014.MapServer,76860,53,1257,299.955,2.4940639106328333,running
services/EPM_AllProjectsPoints.MapServer,58842,2,0,172.071,0.9516245151807262,running
services/UMapTest.MapServer,18708,44,0,42.384,1.784208889650156,running
services/Secure/UDOTBridgesLoadRating.MapServer,0,0,0,0,0,running
services/Region4/MoabHotspotStudy.MapServer,20284,12,0,123.688,0.7144193411137519,running
services/Secure/TrafficSafetyCrashSimple.MapServer,1,0,0,5.824,5.824,running
services/Permits.MapServer,27285,6,0,126.189,1.4437295043096139,running
services/Secure/Run_off_Center_Crashes_uPlan.MapServer,0,0,0,0,0,running
services/Region4/R4_UDOTProperty.MapServer,17507,4,0,111.391,1.312451392990058,running
services/Safety_SafetyIndex.MapServer,8605,6,0,147.06,2.652200874320555,running
services/System/CachingTools.GPServer,97,0,0,4.407,2.9232909523809516,running
services/AADT.MapServer,2481327,403,0,218.054,0.10743435318581376,running
services/GPTools/PermitsRefreshToFGDB.GPServer,69,0,0,8.051,4.200347222222223,running
services/Complex/WaterQualityFeatures.MapServer,1,0,0,9.193,9.193,running
services/uplan/UDOT_Region_Bike_Plans.MapServer,22703,11,0,147.907,2.3454367396084814,running
services/uplan/Land_Use_Growth.MapServer,4400,4,0,56.275,2.914707033727769,running
services/uplan/SR92.MapServer,17650,5,0,187.457,2.024326852659366,running
services/uplan/Unified_Plan_Consolidated.MapServer,567,4,0,242.313,117.00182584762798,running
services/STIP2015Archive.MapServer,121104,21,0,188.082,0.9475965917118812,running
services/uplan/LRP_2015_Comment.MapServer,5600,5568,0,0,0,running
services/CCS_Workforce.MapServer,5394,4871,0,18.353,4.162351300774955,running
services/ProjectWiseEnvDocs.MapServer,2715,0,0,73.515,3.505257414007194,running
services/uplan/Wildlife_Studies_2012.MapServer,97827,28,0,182.293,1.658820806085035,running
services/EPM_CMGC.MapServer,7376,3,0,125.996,2.3201142008386175,running
services/UDOTBridgesPublic.MapServer,128274,22,0,145.991,0.5202329422787542,running
services/OwnershipCode.MapServer,25217,4,0,127.248,1.1112489567491464,running
services/ADARampInventory_viewonly.MapServer,30711,36,0,87.608,0.31752776127738097,running
services/uplan/PELWebData.MapServer,6959,2105,0,0,0,STOPPED
services/uplan/Unified_Plan_StateFundingStatus.MapServer,22037,4,0,124.157,1.9229046268085455,running
services/System/RasterProcessing.ImageServer,0,0,0,0,0,STOPPED
services/Safety_SevCRScore.MapServer,1739,3,0,146.687,4.578249796065502,running
services/PEL/FI_Rumblestrips_TEST.MapServer,678,3,0,13.042,1.6189402553153116,running
services/PondsService.MapServer,280,1,0,17.24,4.456285201392809,running
